好啊	Alright
阿姨，我真的饱了，我吃不了这块蛋糕	Aunt, I'm really full, I can't eat this piece of cake anymore
我的妹妹很矮	My little sister is very short
游泳是我最大的爱好	Swimming is my most beloved hobby
你今天怎么那么安静？	Why are you so silent today?
你把这个给我	Give me this
我已经在中国半年了	I've been in China for half a year already
你明天有时间帮我搬家吗？	Do you have time tomorrow to help me move?
这个斑的学生都会说汉语	The students of this class are all able to speak Chinese
我也没有办法	I can't do anything about that either
如果你们有问题你们就来我办公室找我	If you have questions you can come to my office
你可以帮我一个很大的忙吗？	Could you do me a big favour?
你饱了吗？	Are you full?
我好饱	I am very full
你的包很漂亮，是新买的吗？	Your bag is beautiful, is it a new one?
这个都被你吃完了	This was all eaten by you
一月的时候中国北方的天气很冷	In January the weather is very cold in China's northern area
我想买个新笔记本	I want to buy a new notebook
我喜欢这个菜，但是还是那个菜比较好吃	I like this dish, but that one still tastes a little bit better
明天我和我弟弟一起去看足球比赛	Tomorrow my little brother and I go to see a football match
如果你想住在宾馆你就必须带你的护照	If you want to stay at a hotel you have to bring your passport
我的鼻子比一般的中国人大	My nose is bigger than the one of an average Chinese
这真是一个很大的变化	This is really a big change
别人说什么不重要，你自己想学汉语就学吧	It's not important what other people are saying, if you want to study Mandarin study
把那些东西都放到冰箱	Put all those things in the fridge
他不但有钱而且人很好	He's not only rich but also a great guy
服务员，请给我们菜单	Waiter, the menu please
我当然要参加今年的游泳比赛	Of course I will take part in this year's swimming competition
一般的牛喜欢吃草	Normal cows like eating grass
他的办公室在八层	His office is on the 8th floor
我的汉语不错，但是我的数学很差	My Mandarin is quite good, but my maths is really bad
离我们家最近的超市很小	The supermarket closest to our home is very small
我想给我弟弟买件新的衬衫	I want to buy my little brother a new shirt
妈妈一看到我的成绩就很高兴	As soon as my mum saw my marks she was very happy
我觉得大城市比小城市有意思得多	I think big cities are a lot more interesting than small ones
明天有考试，你不要迟到	Tomorrow is a test, don't be late
除了这几块我没什么钱	Except for those bucks I do not have any money
除了你我没有别的女人	You are the only girl in my life
买船比买车贵得多	It is a lot more expensive to buy a ship than to by a car
春节是中国最重要的节日	Spring festival is China's most important festival
我很喜欢春天的天气	I really like the weather in spring
一本好的词典对学习语言很有帮助	A good dictionary helps a lot when studying a new language
我是我们班最聪明的学生	I am the brightest student in our class
明天我爸爸妈妈来看我，我一定要打扫我的房间	Tomorrow my mum and my dad come to see me, I really have to clean my room
明年我打算去中国学汉语	Next year I plan to go to China to study Mandarin
今天很冷，带帽子吧	It is very cold today, you should wear a hat
中国的蛋糕不便宜	Chinese cakes are not cheap
妈妈，你不用担心，我不喝酒	Mum, you don't need to worry, I won't drink alcohol
你问我我爱谁？当然是你！	You are asking me who I love? You of course!
你慢慢地走吧	Go slowly, take care
我的灯坏了，我现在要用我手机的灯看书	My light is broken, now I have to use my mobile phone to read the book
这个地方真漂亮	This place is really beautiful
我每天坐地铁去上班	I go to work by subway every day
我不懂这城市的地图	I don't get the map of this city
我住在24层，你乘电梯上来吧	I'm living on the 24th floor, use the elevator to come up
我现在还不知道，我明天给你写电子邮件	I don't know yet, I'll write you an email tomorrow
向东走五百米就是医院	Go east for 500m, then you get to a hospital
冬天你一定要多穿一点衣服	In winter you have to wear more clothes
你最喜欢哪种动物？	Which animal do you like most?
这一段你写得很好	This paragraph you wrote very well
我们昨天看的电影很短	The film we watched yesterday was very short
我每个星期五去锻炼身体	Every Friday I am going for a work-out
我觉得你不知道你的女朋友有多么漂亮	I think you do not realize how beautiful your girlfriend is
我好饿，把你的苹果给我	I am starving, give me your apple
那么高大的人怎么可能有那么小的耳朵？	How can such a big person have so small ears?
麻烦你给大家发一下材料	Please send everyone the material
我发烧了，我今天不能去上课	I have fever, I cannot go to class today
我发现，学汉语其实很有意思	I found out, studying Chinese is actually quite interesting
你把这个放到那儿	Put this over there
在宾馆的一层有超市，这个很方便	At the first floor of the hotel there's a supermarket, that's very convenient
你放心吧，你考得很不错	Relax, you did quite well at the test
现在是5点17分	It's 5:17 now
